unspsc_code,unspsc_type,unspsc_title,unspsc_definition,cpv_match_1_code,cpv_match_1_name,cpv_match_2_code,cpv_match_2_name,cpv_match_3_code,cpv_match_3_name
10230000,Family,Live chrysanthemums,Live plants including the root ball of chrysanthemums,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products,03451000-6,Plants
10240000,Family,Live carnations,Live plants including the root ball of the carnation,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products,03121000-5,Horticultural products
10250000,Family,Live orchids,Live plants including the root ball of the orchid,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products,03121000-5,Horticultural products
10300000,Family,Fresh cut rose,Fresh cut blooms of roses,03121200-7,Cut flowers,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products
10310000,Family,Fresh cut blooms of high species or variety count flowers,Fresh cut blooms of flower types with more than 5 varieties registered with unspsc,03121200-7,Cut flowers,77330000-2,Floral-display services,03121100-6,"Live plants, bulbs, roots, cuttings and slips"
10320000,Family,Fresh cut blooms of low species or variety count flowers,Fresh cut bloom of flower types with less than 5 varieties registered with unspsc,03121200-7,Cut flowers,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products
10330000,Family,Fresh cut chrysanthemums,Fresh cut blooms of chrysanthemums,03121200-7,Cut flowers,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products
10340000,Family,Fresh cut floral bouquets,An arrangement of various types of fresh cut flowers and greens,03121210-0,Floral arrangements,03121200-7,Cut flowers,77330000-2,Floral-display services
10350000,Family,Fresh cut carnations,Fresh cut blooms of carnations,03121200-7,Cut flowers,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products
10360000,Family,Fresh cut orchids,Fresh cut blooms of orchids,03121200-7,Cut flowers,03121100-6,"Live plants, bulbs, roots, cuttings and slips",03120000-8,Horticultural and nursery products
10400000,Family,Dried cut roses,Dried cut blooms of roses,03121200-7,Cut flowers,03120000-8,Horticultural and nursery products,03100000-2,Agricultural and horticultural products
